year,total_invested,corpus,real_value,wealth_multiple
1,620000.0,703041.88,663247.06,1.13
2,752000.0,949344.23,844912.99,1.26
3,897200.0,1246676.54,1046733.67,1.39
4,1056920.0,1604101.77,1270598.85,1.52
5,1232612.0,2032183.15,1518565.47,1.65
6,1425873.2,2543223.36,1792872.11,1.78
7,1638460.52,3151540.86,2095954.67,1.92
8,1872306.57,3873789.39,2430463.39,2.07
9,2129537.23,4729326.95,2799281.35,2.22
10,2412490.95,5740642.05,3205544.54,2.38
11,2723740.05,6933846.02,3652663.59,2.55
12,3066114.05,8339241.35,4144347.47,2.72
13,3442725.46,9991977.83,4684629.11,2.9
14,3856998.0,11932809.8,5277893.28,3.09
15,4312697.8,14208970.1,5928906.77,3.29
16,4813967.58,16875178.33,6642851.24,3.51
17,5365364.34,19994804.07,7425358.79,3.73
18,5971900.78,23641208.56,8282550.63,3.96
19,6639090.85,27899292.12,9221079.03,4.2
20,7372999.94,32867278.43,10248172.78,4.46
